序号,图片序号,图片文件,图片内位置,名称,代码,现价,涨跌幅,备注
1,1,微信图片_20260415174534_974_6.jpg,第1行左,中科曙光,603019,88.29,-0.63%,
2,1,微信图片_20260415174534_974_6.jpg,第1行右,天华新能,300390,76.93,-5.08%,
3,1,微信图片_20260415174534_974_6.jpg,第2行左,中国石油,601857,11.76,-1.42%,
4,1,微信图片_20260415174534_974_6.jpg,第2行右,布伦特原油当...,B00Y,96.08,1.36%,
5,1,微信图片_20260415174534_974_6.jpg,第3行左,农化制品,BK0731,1911.92,-1.70%,
6,1,微信图片_20260415174534_974_6.jpg,第3行右,恒力石化,600346,23.68,3.91%,
7,1,微信图片_20260415174534_974_6.jpg,第4行左,巨化股份,600160,34.41,-2.63%,
8,1,微信图片_20260415174534_974_6.jpg,第4行右,藏格矿业,000408,84.48,-0.39%,
9,1,微信图片_20260415174534_974_6.jpg,第5行左,盐湖股份,000792,37.01,-4.76%,
10,1,微信图片_20260415174534_974_6.jpg,第5行右,天赐材料,002709,48.00,-2.74%,
11,2,微信图片_20260415174535_975_6.jpg,第1行左,沪深300,000300,4685.25,-0.34%,
12,2,微信图片_20260415174535_975_6.jpg,第1行右,汇川技术,300124,67.90,-1.75%,
13,2,微信图片_20260415174535_975_6.jpg,第2行左,化学原料,BK1019,1105.75,-2.07%,
14,2,微信图片_20260415174535_975_6.jpg,第2行右,科伦博泰生物,06990,519.000,6.97%,
15,2,微信图片_20260415174535_975_6.jpg,第3行左,华虹公司,688347,123.34,0.63%,
16,2,微信图片_20260415174535_975_6.jpg,第3行右,佰维存储,688525,285.41,-0.93%,
17,2,微信图片_20260415174535_975_6.jpg,第4行左,超威半导体,AMD,255.070,3.34%,
18,2,微信图片_20260415174535_975_6.jpg,第4行右,浙文互联,600986,10.22,-3.13%,
19,2,微信图片_20260415174535_975_6.jpg,第5行左,国投白银LOF,161226,2.876,0.74%,
20,2,微信图片_20260415174535_975_6.jpg,第5行右,湖南白银,002716,11.94,-1.16%,
21,3,微信图片_20260415174536_976_6.jpg,第1行左,AI应用,980112,1547.96,-1.30%,
22,3,微信图片_20260415174536_976_6.jpg,第1行右,江波龙,301308,371.57,-2.61%,
23,3,微信图片_20260415174536_976_6.jpg,第2行左,商业航天,BK0963,2704.98,-0.08%,
24,3,微信图片_20260415174536_976_6.jpg,第2行右,机器人,H30590,1842.55,-1.14%,
